,High,Low,Open,Volume,ln_close,sentiment,sentiment_missing,close_diff,simple_return,volatility,rsi14,bb_width,vol_roll5,log_return_l1,sentiment_l1,log_return_l3,sentiment_l3,close_l3,log_return_l5,sentiment_l5,close_l5,log_return_l10,sentiment_l10,close_l10,log_return_l252,sentiment_l252,close_l252,dow,month_sin,month_cos
High,1.0,0.999325866130455,0.999574376359944,-0.4443468561661447,0.968606897598744,0.21745898004559325,-0.28078322341442147,0.014960294330466408,-0.05259511932580988,0.07778397922424163,-0.1366871029140355,-0.026740550796772785,0.06351111795684077,-0.03792822120254062,0.21361062828435678,-0.03420170826064654,0.21060270912625606,0.9955800182674169,-0.03946471746972216,0.2080607616025165,0.9922573701910231,-0.021726284621813342,0.19805586968669,0.9843389779455849,0.08336642900889317,0.6396318358927447,0.8659788172388233,-0.014667772946233438,-0.33903514774780796,-0.004443402100535239
Low,0.999325866130455,1.0,0.9993121737894224,-0.45957306162059475,0.9682944971280598,0.22369615602611967,-0.2831417476548563,0.023686642356501156,-0.04734088383104407,0.06305006597596623,-0.1295253821664044,-0.03371157281044434,0.04829296271327746,-0.03614280677636367,0.22016590291428925,-0.033891956205091105,0.21822524758941145,0.9947764290334163,-0.03925502300188625,0.21385182276831538,0.9911576789003279,-0.02098928569596596,0.20371241656054576,0.982628963834175,0.08416091128371046,0.6478356986453674,0.862176790089994,-0.014810414157744615,-0.33895869019156294,0.0022494974940935886
Open,0.999574376359944,0.9993121737894224,1.0,-0.44903812568557633,0.9679184601703039,0.21988559491292284,-0.2834268683348564,-0.00017470013029705572,-0.065941184831363,0.07072134454401154,-0.13805405476667998,-0.03061723407943159,0.05640336520837156,-0.03396230898242525,0.21751065221942945,-0.0343417316048796,0.21344581247248992,0.9955618140604842,-0.03833874532525715,0.21157199034759333,0.9919911617127762,-0.019731154783156575,0.20238966416856122,0.9836879840968927,0.08339121093932514,0.6430556841873941,0.8643416108654137,-0.012014917799179787,-0.3393414774371114,-0.0018987716061648128
Volume,-0.4443468561661447,-0.45957306162059475,-0.44903812568557633,1.0,-0.3835159867219729,-0.31938193248393976,0.15938300276602546,0.010450773615283562,0.16000043198945096,0.33278892553396144,0.27385421345712563,0.27605262056208985,0.3794040999133846,0.1282526732628436,-0.3172814193745051,0.10397580573221603,-0.30649189848756564,-0.46010699539384486,0.037019744170630774,-0.28210678022322777,-0.4635024507394578,0.008354539115712415,-0.2621699694568392,-0.4757534722597532,0.02327107610840928,-0.483167072104785,-0.46858427849124723,0.08027993527571375,0.2965863209283263,-0.15019381765703163
ln_close,0.968606897598744,0.9682944971280598,0.9679184601703039,-0.3835159867219729,1.0,0.21596110635597499,-0.24620031774751797,0.03575482219171801,-0.041408827673753736,0.05400689603078183,-0.12262895702424216,-0.04916953403784601,0.03899669558156178,-0.04765315438938308,0.2129074440428594,-0.044469777166542365,0.21034138310376269,0.9639327190548912,-0.05006755295409757,0.20702860827840688,0.9609987225722479,-0.022788323126918506,0.200767825374101,0.9530058127403482,0.09900587755406717,0.5413149878292017,0.7383026619601705,-0.017798083155594197,-0.36323445742378124,-0.047180572240437146
sentiment,0.21745898004559325,0.22369615602611967,0.21988559491292284,-0.31938193248393976,0.21596110635597499,1.0,-0.12385670008122512,0.018205303264686293,-0.028370865564710288,-0.23756362097469053,-0.3314528026021811,-0.3018821641863648,-0.23471904021376108,-0.06318962023018794,0.8326545452002084,-0.07714001969566536,0.7307872205277693,0.2217893535280287,-0.07154498983453828,0.6790752893518451,0.22219905291284342,-0.11020142716094161,0.5463041830839732,0.24152849420216846,0.016421325217325564,0.4359441988518012,0.09209709647196884,0.009208014509216407,-0.39480244442618423,0.5500259024743475
sentiment_missing,-0.28078322341442147,-0.2831417476548563,-0.2834268683348564,0.15938300276602546,-0.24620031774751797,-0.12385670008122512,1.0,0.06072374692801368,0.04682488414949892,0.020741701649107804,0.08195380383190108,0.04117809645553198,0.012557008278087292,0.008536497206018451,-0.1486945452478271,0.0704873066467624,-0.20908758323603643,-0.2845470400377023,0.01650871775201795,-0.12964763956470562,-0.284422174994166,0.010613972510409844,-0.10454268202358939,-0.28094634363215387,-0.035615923734867945,-0.2605794726495359,-0.27025523468907436,0.08414009698764668,0.14708266151691626,-0.08846865963485526
close_diff,0.014960294330466408,0.023686642356501156,-0.00017470013029705572,0.010450773615283562,0.03575482219171801,0.018205303264686293,0.06072374692801368,1.0,0.8665258360586631,0.06298012744864373,0.2966421401351912,0.04858420107292526,0.0400047305698487,-0.056956681360017906,-0.039777904561109766,-0.04997555674537153,-0.005987212321296677,-0.022790699357575092,-0.0443717311654669,-0.01070805260360809,-0.01911571898400081,-0.0631654596756549,-0.04403907154461763,-0.021316099702675978,-0.0038152088228962846,0.0041110922596117065,-0.019914320928269617,-0.048472840906718356,0.048659246174047335,-0.0032839845832146417
simple_return,-0.05259511932580988,-0.04734088383104407,-0.065941184831363,0.16000043198945096,-0.041408827673753736,-0.028370865564710288,0.04682488414949892,0.8665258360586631,1.0,0.13553045130543187,0.33817550252160117,0.08036232591104692,0.1281518475824113,-0.03750239441833328,-0.06134395426602622,-0.06202998144716449,-0.03983803151771101,-0.08535643207953884,0.0015391898426351087,-0.036824046656342174,-0.08222535980035306,-0.07639654733422344,-0.052742162408205624,-0.08473401866782765,-0.04471990951418954,-0.03441743883331187,-0.05436830048709183,-0.04468450650996502,0.09984381128905705,0.007935580623318833
volatility,0.07778397922424163,0.06305006597596623,0.07072134454401154,0.33278892553396144,0.05400689603078183,-0.23756362097469053,0.020741701649107804,0.06298012744864373,0.13553045130543187,1.0,-0.016586335238135675,0.4165715762442507,0.8757278077703828,0.0766298440728686,-0.24551992497174502,0.01458601455872805,-0.2714188937300176,0.06818854557268673,0.009230850541448664,-0.27315805636910323,0.07340369310142854,-0.01247512875083782,-0.2618306541495997,0.08806888964418227,0.03068138116163107,-0.130775265473688,0.19296087205123705,0.04238705805214989,0.06563687793159337,-0.23339252194486182
